,09-Jul-19,,,,,,
The Nifty witnessed an intraday movement of about 121.55 points.The closing index was 0.02 % down as compared to the previous closing index.,,,,,,,
,,,,,,,
, Traded Value (Rs. In Crores),34591.7,,,,,
, Traded Quantity (in Lakhs),13314.8,,,,,
, Number of Trades,11724313,,,,,
, Total Market Capitalisation (Rs. Crores),14648561.64,,,,,
,,,,,,,
,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BERGEPAINT,EQ,306.75,179330540.6,590563,,
,BETA,SM,93.95,3497000,36800,,
,BFINVEST,EQ,264.2,139339096.8,500110,,
,BFUTILITIE,EQ,202.65,661824133.3,3131491,,
,BGLOBAL,BE,1.7,53603.75,31144,,
,BGRENERGY,EQ,50.45,2915284.6,59077,,
,BHAGERIA,EQ,253.75,4427414.6,17263,,
,BHAGYANGR,EQ,24.1,195707.75,8132,,
,BHAGYAPROP,EQ,23.6,119693.75,5011,,
,BHANDARI,EQ,1.7,105699.15,64353,,
,BHARATFORG,EQ,454.1,790242281.8,1774858,,
,BHARATGEAR,EQ,92.55,470378.55,5048,,
,BHARATRAS,EQ,4138.15,3691950.75,882,,
,BHARATWIRE,EQ,33.25,844499.4,25459,,
,BIGBLOC,EQ,28.8,41889.55,1489,,
,BIL,BE,305.4,36058.85,120,,
,BILENERGY,EQ,2.95,149104.8,50544,,
,BINANIIND,BZ,16.2,40591.55,2527,,
,BINDALAGRO,EQ,12.8,213053.6,16928,,
,BIOFILCHEM,BE,5.75,2300,400,,
,BIRLACABLE,EQ,83.25,3517784.85,41989,,
,BIRLACORPN,EQ,617.2,66056683.55,108438,,
,BIRLAMONEY,EQ,45.1,1012190.4,22337,,
,BKMINDST,EQ,2.75,21431.25,7797,,
,BLBLIMITED,BE,3.9,1603.55,414,,
,BLISSGVS,EQ,159.5,213756543.5,1352117,,
,BLKASHYAP,EQ,11.2,2031344.9,182413,,
,BLS,EQ,70.1,22007546.1,312443,,
,BLUEBLENDS,BE,2.3,140.3,61,,
,BLUECOAST,EQ,3.8,5672.55,1502,,
,BLUEDART,EQ,2602.45,3947268.5,1504,,
,BLUEDART,N3,10.69,2138,200,,
,BLUESTARCO,EQ,733.8,17470556.8,23387,,
,BODALCHEM,EQ,95.4,4342885,45575,,
,BOHRA,SM,7.6,45700,6000,,
,BOMDYEING,EQ,102,89736451.4,873862,,
,BOROSIL,EQ,168.25,3270187.4,19383,,
,BPL,EQ,21.25,962220.4,45799,,
,BRFL,EQ,6.35,125566.25,19681,,
,BRIGADE,EQ,274.55,16621613.4,62132,,
,BRIGHT,SM,12.3,1376550,108000,,
,BRNL,EQ,83.4,1293840.75,15448,,
,BROOKS,EQ,41.15,549803.1,13303,,
,BSE,EQ,592.05,23412463.95,39492,,
,BSELINFRA,EQ,1.4,68946.25,50584,,
,BSHSL,SM,127,127000,1000,,
,BSL,EQ,29.25,195471.1,6662,,
,BSLGOLDETF,EQ,3117.1,194669.65,61,,
,BSLNIFTY,EQ,125,107497.49,852,,
,BSOFT,EQ,81.55,66556083.35,817773,,
,BURNPUR,BE,1.85,64898.55,35316,,
,BUTTERFLY,EQ,168,2627124.8,16006,,
,BVCL,BE,16,1680,105,,
,BYKE,EQ,24,318434.45,13390,,
,CALSOFT,EQ,16.25,917632.1,57284,,
,CAMLINFINE,EQ,60.15,17172555.95,288254,,
,CANBK,EQ,275.25,1946131805,7146079,,
,CANDC,BZ,6.6,11085.6,1758,,
,CANFINHOME,EQ,366,149720499.7,411505,,
,CANTABIL,EQ,230.85,565283.75,2450,,
,CAPACITE,EQ,271.45,12569604.45,46401,,
,CAPLIPOINT,EQ,416.6,4798437.1,11376,,
,CAPTRUST,EQ,125.7,137033.1,1099,,
,CARBORUNIV,EQ,347,4675413,13485,,
,CAREERP,EQ,63.8,128721.55,2015,,
,CARERATING,EQ,892.55,10799995,12001,,
,CASTEXTECH,BE,0.75,61346.05,82349,,
,CASTROLIND,EQ,126.15,168894158.8,1345073,,
,CCHHL,BE,5.15,118320.55,23012,,
,CCL,EQ,238.45,26793088.2,111868,,
,CDSL,EQ,209.65,24947893.5,118672,,
,CEATLTD,EQ,903.7,140483406.1,155321,,
,CEBBCO,EQ,16.5,235365.7,14133,,
,CELEBRITY,EQ,6.25,85277.7,13540,,
,CELESTIAL,EQ,4.3,335411.35,79038,,
,CENTENKA,EQ,212.55,3321869.3,15560,,
,CENTEXT,EQ,3.6,204721.25,55604,,
,CENTRALBK,EQ,19.85,11965684.6,602608,,
,CENTRUM,EQ,26.1,1656408.8,64150,,
,CENTUM,EQ,512.1,2959933.85,5868,,
,CENTURYPLY,EQ,159.85,14110733.8,87909,,
,CENTURYTEX,EQ,911.65,435421275.7,480426,,
,CERA,EQ,2901.25,21053613.55,7291,,
,CEREBRAINT,EQ,24.65,4066198.3,164459,,
,CESC,EQ,785.4,465148692.2,593525,,
,CESCVENT,EQ,451.55,2261275.7,5069,,
,CGCL,EQ,156.8,66466024.55,421281,,
,CGPOWER,EQ,23.3,61414439.5,2649198,,
,CHALET,EQ,300.15,43162529.3,143833,,
,CHAMBLFERT,EQ,165.8,30285480.2,181833,,
,CHEMFAB,EQ,169.45,625256.4,3636,,
,CHENNPETRO,EQ,189,50107050.6,262941,,
,CHOLAFIN,EQ,283.1,250957980.1,897385,,
,CHOLAHLDNG,EQ,481.05,14316542.1,30028,,
,CHROMATIC,EQ,0.6,6321.15,10843,,
,CIGNITITEC,EQ,301.05,1535593.85,5095,,
,CIMMCO,EQ,24.95,135626.05,5425,,
,CINELINE,EQ,35.25,340960.05,9604,,
,CINEVISTA,EQ,5,21800.7,4372,,
,CKFSL,EQ,3.95,26863.95,6801,,
,CLEDUCATE,EQ,95,67339.55,708,,
,CLNINDIA,EQ,299.45,2648280.15,8881,,
,CMICABLES,EQ,108.2,1260727.6,11723,,
,CNOVAPETRO,EQ,10.8,70350.85,6483,,
,COCHINSHIP,EQ,370.15,14715500.75,39610,,
,COFFEEDAY,EQ,221.6,28202293.6,127696,,
,COMPINFO,EQ,12.7,430803.85,33788,,
,COMPUSOFT,EQ,8.6,252930.05,30199,,
,CONFIPET,EQ,34.45,2471535.9,72339,,
,CONSOFINVT,EQ,40.8,19753.15,510,,
,CONTROLPR,EQ,231.15,199638.95,860,,
,CORALFINAC,EQ,14.55,241768.85,16672,,
,CORDSCABLE,EQ,54.25,1112147.7,20454,,
,COROMANDEL,EQ,401.9,16641041.5,41124,,
,CORPBANK,EQ,27.95,5884807.5,208601,,
,COSMOFILMS,EQ,214.55,2624612.7,12200,,
,COUNCODOS,BE,2.05,72216.65,34831,,
,COX&KINGS,EQ,25.8,948820.8,36776,,
,CPSEETF,EQ,26.33,26393292.26,1001089,,
,CREDITACC,EQ,496.9,30065416.15,61252,,
,CREST,EQ,106.3,347971.25,3242,,
,CRISIL,EQ,1432.7,5559416.3,3878,,
,CROMPTON,EQ,227.8,148576609.6,650359,,
,CTE,EQ,32.25,14273.1,443,,
,CUB,EQ,199.6,327647422,1651118,,
,CUBEXTUB,EQ,11.55,41493.4,3766,,
,CUMMINSIND,EQ,747.05,222384706.5,298463,,
,CUPID,EQ,112.25,1201631.6,10753,,
,CYBERTECH,EQ,53.4,3160389.8,56774,,
,CYIENT,EQ,537.3,47518698.6,89245,,
,DAAWAT,EQ,20.6,14079968.6,674135,,
,DALBHARAT,EQ,993.4,30170875.25,30092,,
,DALMIASUG,EQ,100.8,6399162.5,63314,,
,DAMODARIND,EQ,32.55,893434.6,27437,,
,DANGEE,SM,155,250400,1600,,
,DATAMATICS,EQ,91.85,3191399.15,34991,,
,DBCORP,EQ,187.95,3192853.6,16883,,
,DBL,EQ,428.55,171030916.4,399132,,
,DBREALTY,EQ,11.45,1125048.85,98589,,
,DBSTOCKBRO,BE,10.5,10310.4,983,,
,DCAL,EQ,214.9,8669998.6,40391,,
,DCBBANK,EQ,228.9,153067029.9,679626,,
,DCM,EQ,28.85,82593.05,2866,,
,DCMSHRIRAM,EQ,565.7,127733285.5,223460,,
,DCW,EQ,16.6,4304778.25,255726,,
,DECCANCE,EQ,388.6,2031422.65,5310,,
,DEEPAKFERT,EQ,106.35,17204973.05,161918,,
