,07-Sep-2018
The Nifty witnessed an intraday movement of about 118.6 points.The closing index was 0.45 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 36966.93
, Traded Quantity (in Lakhs), 14044.67
, Number of Trades, 12659002
, Total Market Capitalisation (Rs. Crores), 15511978.16

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BHAGYANGR,BE,        34.45,                   289916.70,8499
,BHAGYAPROP,EQ,        24.35,                   135964.35,5552
,BHANDARI,EQ,         2.60,                  1143201.95,445818
,BHARATFIN,EQ,      1148.15,                343717869.25,300334
,BHARATFORG,EQ,       688.70,               1161232608.10,1707078
,BHARATGEAR,EQ,       188.85,                 24353137.45,129314
,BHARATIDIL,BZ,         3.35,                     1402.45,424
,BHARATRAS,EQ,      7843.40,                  5557076.75,709
,BHARATWIRE,EQ,        94.90,                  2058361.05,21732
,BHUSANSTL,EQ,        29.45,                 16700608.15,566627
,BIGBLOC,EQ,        78.65,                  1000089.30,12635
,BIL,EQ,       410.25,                  2806923.05,6993
,BILENERGY,BE,          .50,                    34060.00,66832
,BILPOWER,BZ,          .70,                      375.90,537
,BINANIIND,EQ,       113.25,                 15946096.45,142358
,BINDALAGRO,EQ,        20.25,                   257750.25,12763
,BIOCON,EQ,       661.35,               2998663926.65,4512085
,BIOFILCHEM,BE,         9.70,                    49208.50,5300
,BIRLACABLE,EQ,       165.80,                 20828500.65,124069
,BIRLACORPN,EQ,       752.35,                 12112746.80,16025
,BIRLAMONEY,EQ,        59.55,                  2207244.40,37037
,BKMINDST,EQ,        17.10,                   142679.15,8309
,BLBLIMITED,EQ,         5.70,                   185017.00,32966
,BLISSGVS,EQ,       180.80,                 29600140.30,163071
,BLKASHYAP,EQ,        38.20,                  4703885.00,122108
,BLS,EQ,       163.05,                  5117464.55,31865
,BLUEBLENDS,EQ,         5.80,                   196342.05,34177
,BLUECHIP,BE,          .20,                     2801.80,14154
