,24-Jul-2018
The Nifty witnessed an intraday movement of about 50.9 points.The closing index was 0.45 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 34563.31
, Traded Quantity (in Lakhs), 18103.16
, Number of Trades, 12537359
, Total Market Capitalisation (Rs. Crores), 14798442.79

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CINELINE,EQ,        43.85,                  2560839.95,58304
,CINEVISTA,EQ,         8.30,                   137056.75,16564
,CLEDUCATE,EQ,       154.00,                   219615.70,1469
,CLNINDIA,EQ,       391.50,                  2969700.45,7610
,CMICABLES,EQ,       191.10,                 13355027.45,68842
,CMMIPL,SM,        26.50,                   158850.00,6000
,CNOVAPETRO,EQ,        23.00,                    17054.65,750
,COCHINSHIP,EQ,       432.15,                 28319142.35,65319
,COFFEEDAY,EQ,       263.90,                 19644053.00,74964
,COMPINFO,EQ,        34.00,                  1658551.65,49472
,COMPUSOFT,EQ,        11.70,                   350586.30,30088
,CONSOFINVT,EQ,        48.60,                    10174.30,207
,CONTROLPR,EQ,       410.05,                   787539.05,1916
,CORALFINAC,EQ,        20.95,                  1164030.85,56115
,CORDSCABLE,EQ,        80.50,                 35049466.85,451971
,COROMANDEL,EQ,       403.50,                 42366661.85,104103
,CORPBANK,EQ,        26.20,                  7102090.80,269700
,COSMOFILMS,EQ,       228.45,                 13097472.45,59160
,COUNCODOS,EQ,         2.25,                    14494.60,6418
,COX&KINGS,EQ,       209.50,                 31009725.95,147744
,CPSEETF,EQ,        26.20,                 13784324.44,529752
,CREATIVEYE,EQ,         2.80,                     4200.00,1500
,CREST,EQ,       163.30,                  1269158.25,7882
,CRISIL,EQ,      1792.40,                 17438517.45,9701
,CRMFGETF,EQ,      2820.00,                     8390.00,3
,CROMPTON,EQ,       240.80,                692310603.85,2942076
,CTE,EQ,        51.75,                    75308.00,1470
,CUB,EQ,       168.10,                309879688.65,1834092
,CUBEXTUB,BE,        16.00,                     1891.10,117
,CUPID,EQ,       191.80,                 12447009.80,65929
,CYBERMEDIA,EQ,         8.70,                        8.70,1
,CYBERTECH,EQ,        49.50,                  1658181.30,33116
,CYIENT,EQ,       720.35,                108642614.45,151507
,DAAWAT,EQ,        52.75,                 75430611.95,1382220
,DALMIABHA,EQ,      2583.00,               1218669837.55,474011
,DALMIASUG,EQ,        50.85,                  3394185.10,67293
,DAMODARIND,EQ,       107.00,                   189936.45,1794
,DATAMATICS,EQ,       100.35,                  5344699.40,53067
,DBCORP,EQ,       263.45,                  5141227.20,19472
