,19-Jul-2018
The Nifty witnessed an intraday movement of about 71.05 points.The closing index was 0.21 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 27888.39
, Traded Quantity (in Lakhs), 13560.73
, Number of Trades, 10517502
, Total Market Capitalisation (Rs. Crores), 14422039.46

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CARBORUNIV,EQ,       323.85,                  3700601.25,11368
,CAREERP,EQ,        84.90,                  1894201.35,22764
,CARERATING,EQ,      1208.10,                 79620895.50,65537
,CASTEXTECH,BE,         1.75,                   392837.75,222663
,CASTROLIND,EQ,       156.45,                 96494140.75,614031
,CCCL,EQ,         3.05,                   336660.85,111345
,CCHHL,EQ,         8.25,                   429884.65,51919
,CCL,EQ,       272.15,                 11162369.50,40954
,CDSL,EQ,       254.35,                 58953308.05,231388
,CEATLTD,EQ,      1260.75,                604490026.25,480216
,CEBBCO,EQ,        12.95,                   129928.45,10098
,CELEBRITY,EQ,        11.95,                   189799.20,15812
,CELESTIAL,EQ,        12.15,                   264367.25,21759
,CENTENKA,EQ,       231.60,                 14496209.55,61947
,CENTEXT,EQ,         5.95,                   288645.70,48902
,CENTRALBK,EQ,        69.70,                 27098081.95,389830
,CENTRUM,EQ,        51.05,                 27645560.35,532763
,CENTUM,EQ,       377.20,                  1843243.20,4825
,CENTURYPLY,EQ,       231.45,                 56672618.45,246586
,CENTURYTEX,EQ,       888.20,                733293599.55,829354
,CERA,EQ,      2698.25,                 21976186.50,8142
,CEREBRAINT,BE,        60.00,                 11586235.00,194403
,CES1RPG,MF,         8.98,                   199135.00,22300
,CESC,EQ,       885.15,                246110120.15,277229
,CGCL,EQ,        77.40,                   458309.65,5968
,CGPOWER,EQ,        58.20,                251565226.45,4316077
,CHAMBLFERT,EQ,       139.90,                 23896998.95,171309
,CHEMFAB,BE,       170.40,                  1781777.15,10430
,CHENNPETRO,EQ,       272.95,                 95593619.55,351038
,CHOLAFIN,EQ,      1489.40,                466796087.85,313718
,CHROMATIC,EQ,         1.05,                    42421.75,38453
,CIGNITITEC,EQ,       408.75,                 13029845.60,31922
,CIMMCO,EQ,        60.85,                   280637.85,4636
,CINELINE,EQ,        49.20,                  1980069.75,39897
,CINEVISTA,EQ,         6.60,                   103850.40,16197
,CLEDUCATE,EQ,       149.80,                   329100.60,2179
,CLNINDIA,EQ,       397.15,                  2509427.95,6292
,CMICABLES,EQ,       202.35,                  2612231.30,12774
,CMMIPL,SM,        28.10,                  2253450.00,81000
,CNOVAPETRO,EQ,        22.50,                     5162.25,230
,COCHINSHIP,EQ,       425.75,                 17706692.95,41518
,COFFEEDAY,EQ,       256.15,                  9969026.45,38638
,COMPINFO,EQ,        30.35,                   870601.35,29000
,COMPUSOFT,EQ,        11.60,                   323801.80,27899
,CONSOFINVT,EQ,        49.95,                   511180.05,10242
,CONTROLPR,EQ,       408.05,                   321837.30,790
,CORALFINAC,EQ,        20.85,                   266659.60,12816
,CORDSCABLE,EQ,        59.35,                   490611.90,8367
,COROMANDEL,EQ,       390.50,                 39617703.40,101374
,CORPBANK,EQ,        26.55,                 13733826.50,516983
,COSMOFILMS,EQ,       198.75,                 34525241.05,176450
,COUNCODOS,EQ,         2.45,                     5119.50,2112
,COX&KINGS,EQ,       213.15,                 20394706.05,95533
,CPSEETF,EQ,        25.94,                  5248006.59,201861
,CREST,EQ,       152.00,                   856730.35,5586
,CRISIL,EQ,      1780.20,                 56116286.70,31660
,CRMFGETF,EQ,      2810.00,                    28100.00,10
,CROMPTON,EQ,       230.65,                 68385805.50,295709
,CTE,EQ,        50.80,                   132651.85,2633
,CUB,EQ,       169.25,                145044850.45,856142
,CUBEXTUB,BE,        15.80,                    14437.10,1003
,CUPID,EQ,       188.75,                 47933471.85,244396
,CYBERMEDIA,EQ,         8.70,                     7468.50,905
,CYBERTECH,EQ,        45.20,                   261268.30,5856
,CYIENT,EQ,       693.40,                288533987.30,414756
,DAAWAT,EQ,        56.40,                 18101961.20,316561
,DALMIABHA,EQ,      2324.75,                197991081.45,84715
,DALMIASUG,EQ,        48.55,                  3368209.45,69226
,DAMODARIND,EQ,       104.50,                   631486.15,6013
,DATAMATICS,EQ,        98.90,                  4363549.50,43797
,DBCORP,EQ,       266.15,                140791914.85,543127
,DBL,EQ,       663.70,                122262565.05,183759
,DBREALTY,EQ,        33.80,                  7431091.85,216081
,DCAL,EQ,       256.20,                 33318494.40,128513
,DCBBANK,EQ,       163.65,                361605395.20,2228712
