,06-Jul-2018
The Nifty witnessed an intraday movement of about 81.3 points.The closing index was 0.21 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28712.09
, Traded Quantity (in Lakhs), 12435.38
, Number of Trades, 10248840
, Total Market Capitalisation (Rs. Crores), 14403906.25

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CINELINE,EQ,        58.40,                   473126.85,8061
,CINEVISTA,EQ,         6.50,                    16839.70,2657
,CKPLEISURE,SM,        18.00,                    72000.00,4000
,CLEDUCATE,EQ,       141.45,                  1011881.95,7311
,CLNINDIA,EQ,       395.20,                  3775194.75,9555
,CMICABLES,EQ,       224.80,                  3025898.60,13424
,CNOVAPETRO,EQ,        26.80,                    32322.60,1167
,COCHINSHIP,EQ,       427.60,                 38132895.50,88707
,COFFEEDAY,EQ,       260.10,                 18679844.70,71741
,COMPINFO,EQ,        30.75,                  1284271.20,41561
,COMPUSOFT,EQ,        11.50,                   184695.55,15949
,CONSOFINVT,EQ,        53.25,                   221791.50,4142
,CONTI,SM,        13.20,                   101600.00,8000
,CONTROLPR,EQ,       397.70,                  8143092.70,20958
,CORALFINAC,EQ,        21.90,                   113543.75,5226
,CORDSCABLE,EQ,        63.45,                   328684.40,5135
,COROMANDEL,EQ,       427.30,                 24302993.40,56638
,CORPBANK,EQ,        25.25,                  4532244.55,179524
,COSMOFILMS,EQ,       229.35,                  4531727.50,19838
,COUNCODOS,EQ,         2.55,                    24485.10,9602
,COX&KINGS,EQ,       209.30,                 12781806.30,61141
,CPSEETF,EQ,        25.78,                  5520113.95,214195
,CREATIVEYE,EQ,         3.00,                      600.00,200
,CREST,EQ,       177.50,                  3982915.55,22645
,CRISIL,EQ,      1807.05,                 16401738.75,9089
,CRMFGETF,EQ,      2880.00,                    11520.00,4
,CROMPTON,EQ,       228.25,                102380035.55,450158
,CTE,EQ,        52.15,                    71039.80,1351
,CUB,EQ,       187.70,                 25245193.40,134241
,CUBEXTUB,BE,        14.70,                    24065.60,1595
,CUPID,EQ,       231.05,                  6276790.45,27346
,CYBERMEDIA,EQ,         8.70,                    46200.70,5311
,CYBERTECH,EQ,        46.55,                   827417.35,17799
,CYIENT,EQ,       732.45,                105241282.40,143859
,DAAWAT,EQ,        58.10,                 27488061.95,468061
,DALMIABHA,EQ,      2299.60,                356026057.20,152486
,DALMIASUG,EQ,        53.40,                  1754028.00,32610
,DAMODARIND,EQ,       107.05,                   695687.70,6383
,DATAMATICS,EQ,       102.50,                  2539578.55,24773
,DBCORP,EQ,       261.15,                 34020297.50,131555
,DBL,EQ,       687.85,                245842528.95,361216
,DBREALTY,EQ,        38.05,                 11633669.85,306787
,DCAL,EQ,       263.70,                 33471016.20,126089
,DCBBANK,EQ,       168.75,                275685757.65,1628063
,DCM,EQ,        91.45,                  4249173.80,46771
,DCMSHRIRAM,EQ,       316.75,                 98986049.50,314033
,DCW,EQ,        23.30,                  7669394.20,327964
,DECCANCE,EQ,       422.70,                  1281922.20,3053
,DEEPAKFERT,EQ,       267.70,                 18429718.65,68648
,DEEPAKNTR,EQ,       235.90,                 15301634.45,64335
,DEEPIND,EQ,        80.50,                  4725577.80,57740
,DELTACORP,EQ,       235.70,                747554988.70,3170288
