,25-Apr-2019
The Nifty witnessed an intraday movement of about 172.45 points.The closing index was 0.72 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 45084.45
, Traded Quantity (in Lakhs), 18758.32
, Number of Trades, 11724762
, Total Market Capitalisation (Rs. Crores), 15026846.11

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CHALET,EQ,       324.50,                  4073347.85,12585
,CHAMBLFERT,EQ,       159.50,                 63262299.30,394884
,CHEMFAB,EQ,       153.50,                   331879.50,2164
,CHENNPETRO,EQ,       257.55,                 86945922.15,336628
,CHOLAFIN,EQ,      1421.95,                260489116.10,182133
,CHOLAHLDNG,EQ,       510.15,                 25741530.60,50454
,CHROMATIC,EQ,         1.00,                    13571.25,13819
,CIGNITITEC,EQ,       355.65,                  3127715.95,8745
,CIMMCO,EQ,        32.75,                   526837.90,15764
,CINELINE,EQ,        46.75,                  4678239.60,99629
,CINEVISTA,BE,         5.95,                     8226.00,1390
,CKFSL,BE,        44.25,                   124608.00,2816
,CLEDUCATE,EQ,       124.90,                   437853.10,3482
,CLNINDIA,EQ,       335.50,                  2941355.85,8826
,CMICABLES,EQ,       129.70,                  1416737.95,10810
,CNOVAPETRO,EQ,        15.85,                     5370.50,336
,COCHINSHIP,EQ,       380.10,                 12898966.00,33857
,COFFEEDAY,EQ,       273.60,                 23041711.05,84683
,COMPINFO,EQ,        16.60,                   239671.00,14326
,COMPUSOFT,EQ,         8.60,                   211936.75,24561
,CONSOFINVT,EQ,        45.20,                  3123582.95,67150
,CONTROLPR,EQ,       256.25,                   365702.40,1423
,CORALFINAC,EQ,        17.00,                   132376.20,7781
,CORDSCABLE,EQ,        66.00,                   940222.30,14183
,COROMANDEL,EQ,       433.50,                 72592572.70,166011
,CORPBANK,EQ,        27.50,                  8966413.45,323286
,COSMOFILMS,EQ,       204.40,                  2171944.40,10666
,COUNCODOS,EQ,         2.30,                    29040.30,12938
,COX&KINGS,EQ,       130.25,                  6393496.45,48757
,CPSEETF,EQ,        27.30,                242973347.32,8839605
,CREATIVEYE,EQ,         2.05,                       20.50,10
,CREDITACC,EQ,       502.60,                 35033785.25,69689
,CREST,EQ,       130.60,                  1303988.00,9893
