,05-Apr-2018
The Nifty witnessed an intraday movement of about 104.35 points.The closing index was 1.94 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 30418.5
, Traded Quantity (in Lakhs), 16252.93
, Number of Trades, 9755809
, Total Market Capitalisation (Rs. Crores), 14492838.07

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CYBERTECH,EQ,        68.90,                  6826737.40,98477
,CYIENT,EQ,       639.10,                160320285.40,248012
,DAAWAT,EQ,        95.55,                233209489.80,2456074
,DALMIABHA,EQ,      2925.95,                195648316.10,66533
,DALMIASUG,EQ,        68.10,                  5995705.65,87230
,DAMODARIND,EQ,       132.40,                   552643.90,4161
,DATAMATICS,EQ,       111.20,                 12010270.65,107442
,DBCORP,EQ,       311.25,                  6311040.45,20178
,DBL,EQ,      1158.05,                513537146.90,443146
,DBREALTY,EQ,        55.10,                 36791701.90,669566
,DBSTOCKBRO,EQ,         8.60,                     5424.00,630
,DCAL,EQ,       339.80,                101762181.80,301499
,DCBBANK,EQ,       170.30,                175875900.85,1038230
,DCM,EQ,        95.30,                  1666839.35,17309
,DCMSHRIRAM,EQ,       466.65,                 49419243.95,105879
,DCW,EQ,        34.20,                  6692296.80,196412
,DECCANCE,EQ,       524.45,                  1208376.80,2336
,DEEPAKFERT,EQ,       323.50,                153501380.60,480886
,DEEPAKNTR,EQ,       260.15,                 80588098.80,308855
,DEEPIND,EQ,       163.10,                  8557812.30,52652
