,17-Sep-2019
The Nifty witnessed an intraday movement of about 203.6 points.The closing index was 1.69 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 31566.07
, Traded Quantity (in Lakhs), 17015.01
, Number of Trades, 12671923
, Total Market Capitalisation (Rs. Crores), 13848401

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CORPBANK,EQ,        16.55,                 12523386.05,739447
,COSMOFILMS,EQ,       215.00,                  1924561.40,8827
,COUNCODOS,EQ,         1.70,                    15702.90,9237
,COX&KINGS,EQ,         4.40,                 26526732.90,6039507
,CPSEETF,EQ,        23.20,                125495912.69,5366051
,CREATIVE,EQ,        66.75,                    16825.30,252
,CREATIVEYE,EQ,         1.40,                     1400.00,1000
,CREDITACC,EQ,       596.15,                 30158730.95,50271
,CREST,EQ,       106.90,                   101559.80,936
,CRISIL,EQ,      1253.70,                  6317576.45,5008
,CRMFGETF,EQ,      3510.00,                     3510.00,1
