,29-Nov-2018
The Nifty witnessed an intraday movement of about 100.7 points.The closing index was 1.21 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 43142.02
, Traded Quantity (in Lakhs), 19627.27
, Number of Trades, 13317117
, Total Market Capitalisation (Rs. Crores), 14078722.81

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CORALFINAC,EQ,        15.60,                   102707.40,6688
,CORDSCABLE,EQ,        61.90,                  1600711.55,25503
,COROMANDEL,EQ,       405.90,                 27988621.70,69120
,CORPBANK,EQ,        27.10,                  4395476.10,162176
,COSMOFILMS,EQ,       226.00,                  3716119.05,16369
,COUNCODOS,EQ,         2.35,                    79228.90,34583
,COX&KINGS,EQ,       178.20,                 12189893.95,69760
,CPSEETF,EQ,        23.30,                 46972638.54,2015611
,CREATIVEYE,EQ,         2.95,                     1475.00,500
,CREDITACC,EQ,       386.40,                 28328203.15,73796
,CREST,EQ,       136.15,                   417423.60,3056
,CRISIL,EQ,      1486.20,                 17978503.05,12012
,CROMPTON,EQ,       216.15,                209101647.15,959525
,CTE,EQ,        48.25,                    67045.60,1369
,CUB,EQ,       177.05,                 79514850.00,450221
,CUBEXTUB,EQ,        21.30,                   733132.10,32320
,CUMMINSIND,EQ,       801.00,                328617488.45,410984
,CUPID,EQ,       162.05,                  1025738.65,6303
,CURATECH,BE,         1.70,                      338.30,199
,CYBERTECH,EQ,        42.30,                    77117.45,1838
,CYIENT,EQ,       599.75,                276181966.20,450739
,DAAWAT,EQ,        41.55,                 62747625.40,1493268
,DALMIASUG,EQ,        96.15,                 18785376.50,191471
,DAMODARIND,EQ,        44.50,                    14262.05,327
,DANGEE,SM,       210.00,                  4942880.00,24000
,DATAMATICS,EQ,       104.60,                  3480274.75,33261
,DBCORP,EQ,       177.60,                197546973.10,1109821
,DBL,EQ,       454.00,                118843284.80,257992
,DBREALTY,EQ,        20.90,                  5744283.50,271174
,DBSTOCKBRO,EQ,         7.20,                       93.60,13
,DCAL,EQ,       237.45,                 41033024.55,170703
,DCBBANK,EQ,       155.95,                116838776.15,749134
,DCM,EQ,        72.75,                   436025.25,5973
,DCMSHRIRAM,EQ,       358.40,                 19824297.95,55636
