,13-Feb-2019
The Nifty witnessed an intraday movement of about 119.55 points.The closing index was 0.35 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29238.16
, Traded Quantity (in Lakhs), 15346.87
, Number of Trades, 11602901
, Total Market Capitalisation (Rs. Crores), 13710053.75

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CELESTIAL,EQ,         4.80,                   493857.80,102063
,CENTENKA,EQ,       219.80,                  6974114.40,31487
,CENTEXT,EQ,         6.10,                   890236.90,143147
,CENTRALBK,EQ,        28.40,                 16356208.30,572409
,CENTRUM,EQ,        28.90,                  3889561.65,133478
,CENTUM,EQ,       412.75,                   778259.35,1893
,CENTURYPLY,EQ,       162.20,                  7236987.75,44504
,CENTURYTEX,EQ,       726.45,                330080524.75,450226
,CERA,EQ,      2202.45,                  8668308.15,3922
,CEREBRAINT,EQ,        28.10,                 14656144.15,523440
,CES1RPG,MF,         9.05,                   278291.55,31101
,CESC,EQ,       692.60,                221256137.55,321008
,CESCVENT,EQ,       411.45,                 31222333.60,74995
,CGCL,EQ,       139.70,                 60715858.70,437543
,CGPOWER,EQ,        23.65,               3008459049.25,113592667
,CHALET,EQ,       285.55,                 25127710.60,87941
,CHAMBLFERT,EQ,       169.55,                 47296968.95,280656
,CHEMFAB,EQ,       131.70,                   216235.75,1635
,CHENNPETRO,EQ,       212.85,                 72886390.30,339733
,CHOLAFIN,EQ,      1202.70,                317909188.75,264363
,CHROMATIC,BE,          .90,                    19408.50,21821
,CIGNITITEC,EQ,       333.30,                  3725775.30,11192
,CIMMCO,EQ,        30.20,                   369981.65,12250
,CINELINE,EQ,        42.95,                   644436.10,15014
,CINEVISTA,EQ,         4.90,                    14527.35,2871
,CLEDUCATE,EQ,       124.95,                   945813.00,7579
,CLNINDIA,EQ,       352.85,                 11703989.45,32579
,CMICABLES,EQ,       124.75,                  5333295.00,41995
,CMMIPL,SM,         7.25,                   110250.00,15000
,CNOVAPETRO,EQ,        15.65,                    79823.00,5217
,COCHINSHIP,EQ,       345.25,                 12887482.90,37173
,COFFEEDAY,EQ,       268.50,                116663645.40,445491
,COMPINFO,EQ,        18.40,                   131322.95,7191
,COMPUSOFT,EQ,         9.25,                    36244.05,3952
,CONSOFINVT,EQ,        41.00,                   214202.20,5300
,CONTROLPR,EQ,       253.60,                   570647.30,2279
,CORALFINAC,EQ,        14.60,                   232369.85,15848
,CORDSCABLE,EQ,        58.25,                   886283.85,15153
,COROMANDEL,EQ,       448.65,                 14829499.05,32605
,CORPBANK,EQ,        24.65,                  3663095.55,147034
,COSMOFILMS,EQ,       175.60,                  3610231.10,20481
,COUNCODOS,EQ,         1.90,                    34245.55,17597
,COX&KINGS,EQ,       153.05,                  3198295.25,20787
,CPSEETF,EQ,        22.54,                 17998940.76,789810
,CREATIVE,SM,       111.25,                   178000.00,1600
,CREDITACC,EQ,       388.55,                  8579879.00,22078
,CREST,EQ,       126.65,                   495847.30,3991
,CRISIL,EQ,      1630.70,                 14737824.40,9062
,CROMPTON,EQ,       202.65,                257219878.25,1272425
,CTE,EQ,        44.10,                  4775484.75,100552
,CUB,EQ,       184.05,                171657853.90,927586
,CUBEXTUB,EQ,        11.65,                    20455.55,1676
,CUMMINSIND,EQ,       720.55,                448838013.40,620015
,CUPID,EQ,       121.30,                   641618.05,5283
,CYBERTECH,EQ,        34.95,                    79845.35,2265
,CYIENT,EQ,       599.80,                 56598254.95,95078
,DAAWAT,EQ,        33.40,                 12407472.55,368212
,DALBHARAT,EQ,      1077.50,                 79463997.85,73764
,DALMIASUG,EQ,        95.65,                 30861787.20,318629
