,07-Feb-2019
The Nifty witnessed an intraday movement of about 74.5 points.The closing index was 0.06 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 30954.86
, Traded Quantity (in Lakhs), 19264.8
, Number of Trades, 12212603
, Total Market Capitalisation (Rs. Crores), 14120324.72

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,COCHINSHIP,EQ,       362.35,                  9393796.90,25902
,COFFEEDAY,EQ,       260.80,                 29740501.90,113395
,COMPINFO,EQ,        21.30,                  1758237.75,85997
,COMPUSOFT,EQ,         9.15,                   241675.05,26837
,CONSOFINVT,EQ,        43.10,                    40337.65,933
,CONTROLPR,EQ,       249.55,                  1595469.30,6443
,CORALFINAC,EQ,        14.75,                   191635.30,13040
,CORDSCABLE,EQ,        55.15,                   897589.00,15985
,COROMANDEL,EQ,       450.10,                 85995473.20,190030
,CORPBANK,EQ,        25.35,                  4234671.30,165503
,COSMOFILMS,EQ,       184.20,                  1541479.55,8445
,COUNCODOS,EQ,         2.25,                      744.05,334
,COX&KINGS,EQ,       156.00,                  2977891.05,19091
,CPSEETF,EQ,        23.62,                 62881080.31,2671311
,CREATIVE,SM,       114.00,                   182400.00,1600
,CREATIVEYE,EQ,         2.50,                    50750.00,20300
,CREDITACC,EQ,       400.55,                 13933267.05,34574
,CREST,EQ,       126.00,                  1060627.45,8421
,CRISIL,EQ,      1654.15,                  5493752.40,3326
,CRMFGETF,EQ,      3055.00,                    18198.00,6
,CROMPTON,EQ,       220.50,                133206383.35,604367
,CTE,EQ,        40.00,                   222942.40,5518
,CUB,EQ,       189.25,                 41469072.10,219587
,CUBEXTUB,EQ,        12.55,                   102649.15,8813
,CUMMINSIND,EQ,       769.70,                967196487.15,1239848
,CUPID,EQ,       117.10,                  1946868.10,16694
,CYBERMEDIA,EQ,         5.65,                     1356.00,240
,CYBERTECH,EQ,        37.10,                   711913.65,19184
,CYIENT,EQ,       605.05,                 70818207.90,116753
,DAAWAT,EQ,        35.00,                 24967509.00,710133
,DALBHARAT,EQ,      1119.60,                 28424957.70,26427
,DALMIASUG,EQ,        93.05,                 13984289.45,147499
