,25-Feb-2019
The Nifty witnessed an intraday movement of about 99.05 points.The closing index was 0.82 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 33085.71
, Traded Quantity (in Lakhs), 22069.73
, Number of Trades, 12052303
, Total Market Capitalisation (Rs. Crores), 13873617.24

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CIGNITITEC,EQ,       325.45,                  1076289.05,3287
,CIMMCO,EQ,        32.25,                   155343.45,4899
,CINELINE,EQ,        43.35,                   100276.90,2299
,CINEVISTA,EQ,         5.35,                     2212.00,415
,CLEDUCATE,EQ,       124.65,                  1528551.00,12271
,CLNINDIA,EQ,       345.45,                  2454588.55,7095
,CMICABLES,EQ,       131.00,                  5146483.85,39923
,CMMIPL,SM,         6.20,                    74700.00,12000
,CNOVAPETRO,EQ,        18.55,                    21471.55,1169
,COCHINSHIP,EQ,       349.10,                 13097348.40,37597
,COFFEEDAY,EQ,       280.85,                 22625311.05,80784
,COMPINFO,EQ,        15.95,                   881101.90,55045
,COMPUSOFT,EQ,         9.40,                    69412.05,7418
,CONSOFINVT,EQ,        40.10,                    14365.05,359
,CONTROLPR,EQ,       264.15,                   739234.60,2793
,CORALFINAC,EQ,        14.60,                    82922.20,5644
,CORDSCABLE,EQ,        57.80,                   523850.45,9073
,COROMANDEL,EQ,       441.45,                 66037043.75,148941
,CORPBANK,EQ,        29.95,                 50706167.85,1692612
,COSMOFILMS,EQ,       188.80,                 15837897.05,84681
,COUNCODOS,EQ,         2.00,                    69121.15,34907
,COX&KINGS,EQ,       141.35,                  6248221.80,44030
,CPSEETF,EQ,        23.75,                 51828787.89,2194510
,CREATIVE,SM,       109.00,                   174400.00,1600
,CREATIVEYE,EQ,         2.70,                      675.00,250
,CREDITACC,EQ,       402.50,                  7468433.10,18503
,CREST,EQ,       127.35,                   789010.90,6165
,CRISIL,EQ,      1531.65,                 13108964.90,8545
,CRMFGETF,EQ,      3092.00,                  3095090.00,1001
,CROMPTON,EQ,       211.15,                 39088793.80,184603
,CTE,EQ,        43.65,                    96174.95,2193
,CUB,EQ,       177.10,                 73298477.75,413347
,CUBEXTUB,EQ,        14.95,                    64968.80,4565
,CUMMINSIND,EQ,       701.15,                317570166.80,452682
,CUPID,EQ,       122.85,                   985811.85,8023
,CYBERMEDIA,EQ,         5.60,                     2352.00,420
,CYBERTECH,EQ,        40.00,                   288505.55,7130
,CYIENT,EQ,       621.35,                151014721.10,246061
,DAAWAT,EQ,        33.00,                 21835684.15,660540
