,21-Aug-2018
The Nifty witnessed an intraday movement of about 42.15 points.The closing index was 0.17 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 33006.87
, Traded Quantity (in Lakhs), 15501.98
, Number of Trades, 11419479
, Total Market Capitalisation (Rs. Crores), 15490887.72

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CARERATING,EQ,      1299.05,                 20946034.40,16188
,CASTEXTECH,EQ,         1.40,                  1721207.90,1207709
,CASTROLIND,EQ,       160.30,                263683566.65,1640357
,CCCL,EQ,         2.55,                   561825.45,215838
,CCHHL,EQ,         9.95,                   749436.10,75316
,CCL,EQ,       264.15,                 54782976.00,206822
,CDSL,EQ,       268.10,                 37841204.70,141093
,CEATLTD,EQ,      1413.75,               1219872587.85,853999
,CEBBCO,EQ,        12.95,                   144376.20,11116
,CELEBRITY,EQ,        11.35,                  1296601.10,113830
,CELESTIAL,EQ,        13.90,                    95471.40,6849
,CENTENKA,EQ,       290.20,                 28359461.20,97312
,CENTEXT,EQ,         5.75,                   521057.15,91204
,CENTRALBK,EQ,        68.95,                  5958559.35,86446
,CENTRUM,EQ,        51.60,                  4491832.10,86910
,CENTUM,EQ,       374.30,                  9621859.55,25679
,CENTURYPLY,EQ,       226.15,                 55878673.45,247492
,CENTURYTEX,EQ,       935.10,                938849041.80,996922
,CERA,EQ,      2797.35,                 50034214.50,18107
,CEREBRAINT,EQ,        55.00,                 44343632.40,801718
,CES1RPDP,MF,         9.26,                     9260.00,1000
,CES1RPG,MF,         9.43,                   485936.00,51500
,CESC,EQ,      1007.25,               3453848766.45,3440206
,CGCL,EQ,        86.60,                  3838318.15,44524
,CGPOWER,EQ,        61.05,                661200655.60,10787177
,CHAMBLFERT,EQ,       153.05,                130781362.10,856207
,CHEMFAB,EQ,       171.10,                  1108374.40,6505
,CHENNPETRO,EQ,       305.55,                106120240.80,348143
,CHOLAFIN,EQ,      1478.05,                252223025.70,170497
,CHROMATIC,BE,         1.30,                    30740.50,22880
,CIGNITITEC,EQ,       395.25,                  2921807.60,7336
,CIMMCO,EQ,        69.70,                   439289.80,6340
,CINELINE,EQ,        56.10,                  1269462.70,22422
,CINEVISTA,BE,         7.65,                    40279.90,5219
,CLEDUCATE,EQ,       141.45,                   512253.05,3600
,CLNINDIA,EQ,       466.40,                  9190564.65,19761
,CMICABLES,EQ,       192.75,                  4190472.60,21618
,CNOVAPETRO,BE,        28.85,                    46176.95,1603
,COCHINSHIP,EQ,       437.45,                 22549558.05,51443
,COFFEEDAY,EQ,       248.10,                 62601099.70,253339
,COMPINFO,EQ,        33.85,                   335534.50,9801
,COMPUSOFT,EQ,        12.30,                   246965.75,20038
,CONSOFINVT,EQ,        59.25,                   155533.85,2632
,CONTROLPR,EQ,       401.15,                  4486975.45,11194
,CORALFINAC,EQ,        22.25,                   293911.70,13317
,CORDSCABLE,EQ,        76.00,                  2261669.45,29917
,COROMANDEL,EQ,       417.95,                118301735.50,279139
,CORPBANK,EQ,        28.40,                  4564541.35,160983
,COSMOFILMS,EQ,       243.25,                  4890857.30,20194
,COUNCODOS,EQ,         2.35,                     9391.00,4036
,COX&KINGS,EQ,       220.95,                 12463832.90,56509
,CPSEETF,EQ,        27.40,                 24681142.11,900025
,CREATIVEYE,EQ,         2.90,                    15344.30,5373
,CREST,EQ,       179.45,                  2820724.95,15728
,CRISIL,EQ,      1802.75,                  6136680.90,3406
,CRMFGETF,EQ,      2868.00,                     8604.00,3
,CROMPTON,EQ,       263.65,                131748304.85,493065
,CTE,EQ,        54.85,                   376087.45,6821
,CUB,EQ,       185.20,                141966910.35,767266
,CUBEXTUB,BE,        15.45,                    19683.30,1274
,CUPID,EQ,       231.60,                 12362243.65,53013
,CURATECH,BE,         3.60,                     3621.60,1006
,CYBERMEDIA,EQ,         8.60,                      258.75,30
,CYBERTECH,EQ,        44.00,                   521700.45,11776
,CYIENT,EQ,       725.25,                116894337.00,160647
,DAAWAT,EQ,        57.25,                 92496190.55,1606671
,DALMIABHA,EQ,      2726.60,                529941481.80,193262
,DALMIASUG,EQ,        61.65,                  2777669.95,44682
,DAMODARIND,EQ,       101.55,                   345511.50,3380
,DATAMATICS,EQ,       127.90,                 50928768.55,401236
,DBCORP,EQ,       248.15,                  4470456.60,17969
,DBL,EQ,       855.95,                170642697.75,199378
,DBREALTY,EQ,        30.95,                 29291236.30,931733
,DBSTOCKBRO,EQ,         8.45,                      861.90,102
,DCAL,EQ,       290.35,                220667453.45,760002
,DCBBANK,EQ,       173.70,                116947380.75,675095
,DCM,EQ,        87.50,                  2387258.75,27029
